e_name,e_mut,rgb_rgb_limb_i_sum_norm,rgb_rgb_post_i_sum_norm,rgb_rgb_zpa_i_sum_norm,g_rgb_limb_i_sum_norm,g_rgb_post_i_sum_norm,g_rgb_zpa_i_sum_norm,g_r_limb_i_sum_norm,g_r_post_i_sum_norm,g_r_zpa_i_sum_norm,rgb_rgb_limb_i_mean_norm,rgb_rgb_post_i_mean_norm,rgb_rgb_zpa_i_mean_norm,g_rgb_limb_i_mean_norm,g_rgb_post_i_mean_norm,g_rgb_zpa_i_mean_norm,g_r_limb_i_mean_norm,g_r_post_i_mean_norm,g_r_zpa_i_mean_norm,rgb_rgb_limb_i_sum_norm_bg_sub,rgb_rgb_post_i_sum_norm_bg_sub,rgb_rgb_zpa_i_sum_norm_bg_sub,g_rgb_limb_i_sum_norm_bg_sub,g_rgb_post_i_sum_norm_bg_sub,g_rgb_zpa_i_sum_norm_bg_sub,g_r_limb_i_sum_norm_bg_sub,g_r_post_i_sum_norm_bg_sub,g_r_zpa_i_sum_norm_bg_sub,rgb_rgb_limb_i_mean_norm_bg_sub,rgb_rgb_post_i_mean_norm_bg_sub,rgb_rgb_zpa_i_mean_norm_bg_sub,g_rgb_limb_i_mean_norm_bg_sub,g_rgb_post_i_mean_norm_bg_sub,g_rgb_zpa_i_mean_norm_bg_sub,g_r_limb_i_mean_norm_bg_sub,g_r_post_i_mean_norm_bg_sub,g_r_zpa_i_mean_norm_bg_sub,rfp_rgb_bg_i_mean,rfp_r_bg_i_mean,gfp_rgb_bg_i_mean,gfp_g_bg_i_mean,rfp_r_percent,rfp_g_percent,rfp_b_percent,gfp_r_percent,gfp_g_percent,gfp_b_percent,rfp_rgb_limb_pixel_ct,rfp_rgb_limb_i_sum,rfp_rgb_limb_i_mean,rfp_rgb_limb_i_sum_bg_sub,rfp_rgb_limb_i_mean_bg_sub,rfp_rgb_post_pixel_ct,rfp_rgb_post_i_sum,rfp_rgb_post_i_mean,rfp_rgb_post_i_sum_bg_sub,rfp_rgb_post_i_mean_bg_sub,rfp_rgb_zpa_pixel_ct,rfp_rgb_zpa_i_sum,rfp_rgb_zpa_i_mean,rfp_rgb_zpa_i_sum_bg_sub,rfp_rgb_zpa_i_mean_bg_sub,rfp_r_limb_pixel_ct,rfp_r_limb_i_sum,rfp_r_limb_i_mean,rfp_r_limb_i_sum_bg_sub,rfp_r_limb_i_mean_bg_sub,rfp_r_post_pixel_ct,rfp_r_post_i_sum,rfp_r_post_i_mean,rfp_r_post_i_sum_bg_sub,rfp_r_post_i_mean_bg_sub,rfp_r_zpa_pixel_ct,rfp_r_zpa_i_sum,rfp_r_zpa_i_mean,rfp_r_zpa_i_sum_bg_sub,rfp_r_zpa_i_mean_bg_sub,gfp_rgb_limb_pixel_ct,gfp_rgb_limb_i_sum,gfp_rgb_limb_i_mean,gfp_rgb_limb_i_sum_bg_sub,gfp_rgb_limb_i_mean_bg_sub,gfp_rgb_post_pixel_ct,gfp_rgb_post_i_sum,gfp_rgb_post_i_mean,gfp_rgb_post_i_sum_bg_sub,gfp_rgb_post_i_mean_bg_sub,gfp_rgb_zpa_pixel_ct,gfp_rgb_zpa_i_sum,gfp_rgb_zpa_i_mean,gfp_rgb_zpa_i_sum_bg_sub,gfp_rgb_zpa_i_mean_bg_sub,gfp_g_limb_pixel_ct,gfp_g_limb_i_sum,gfp_g_limb_i_mean,gfp_g_limb_i_sum_bg_sub,gfp_g_limb_i_mean_bg_sub,gfp_g_post_pixel_ct,gfp_g_post_i_sum,gfp_g_post_i_mean,gfp_g_post_i_sum_bg_sub,gfp_g_post_i_mean_bg_sub,gfp_g_zpa_pixel_ct,gfp_g_zpa_i_sum,gfp_g_zpa_i_mean,gfp_g_zpa_i_sum_bg_sub,gfp_g_zpa_i_mean_bg_sub
2021-01-20_E33,Empty_TK,0.553064162,0.564520115,0.553704148,0.341174728,0.329236582,0.322338917,0.460487032,0.432359331,0.419007249,0.624493148,0.602703756,0.599113961,0.344261062,0.330783952,0.3238766,0.460593028,0.432842916,0.419149514,0.305067334,0.321814655,0.326989755,0.17093093,0.170965768,0.170337072,0.175641151,0.175019774,0.174609351,0.344467194,0.343581913,0.353806501,0.172477205,0.171769286,0.171149647,0.175681581,0.17521553,0.174668636,8.753455911,2.868064897,9.857557478,5.707214991,70.0704049,14.62250744,15.30708766,37.36406478,33.61962454,29.01631068,131510,3213374,24.43444605,2062207.013,15.68099014,88929,2350887,26.43554971,1572450.919,17.6820938,59186,1631131,27.55940594,1113048.958,18.80595003,130361,2380788,18.26303879,2006904.192,15.3949739,88612,1790173,20.20237665,1536028.033,17.33431176,58925,1254816,21.29513789,1085815.276,18.42707299,116468,1777202,15.25914414,629111.9957,5.401586665,83295,1327123,15.93280509,506037.7499,6.075247613,54700,903164,16.51122486,363955.606,6.653667385,130331,1096322,8.411828345,352494.963,2.704613354,88513,773998,8.744455617,268835.2795,3.037240626,58905,525777,8.925846702,189593.501,3.218631712
2022-01-31_E35,Empty_TK,0.572597417,0.574341654,0.56543524,0.270072799,0.276522354,0.280581664,0.31663425,0.323780029,0.328483833,0.649704418,0.644462703,0.655777358,0.330087243,0.325962387,0.339758805,0.389661825,0.383052677,0.399450957,0.496656715,0.501579047,0.495519647,0.226359013,0.233437205,0.239993117,0.238800851,0.247451601,0.253900316,0.563537404,0.562816551,0.574691037,0.276659562,0.275173951,0.290609776,0.293877164,0.29275122,0.308754082,10.6851551,4.017527885,11.54201933,6.379146576,82.21670386,7.400375505,10.38292063,50.60094737,30.40431199,18.99474063,169228,10842073,64.06784338,9033845.572,53.38268828,134644,9116706,67.70970856,7678013.976,57.02455346,59653,3973631,66.61242519,3336229.443,55.92727009,170394,9247733,54.27264458,8563170.354,50.25511669,135132,7786067,57.61823254,7243170.422,53.60070466,59906,3394164,56.65816446,3153489.975,52.64063657,149144,6208143,41.62516092,4486720.069,30.08314159,119994,5236104,43.63638182,3851130.933,32.09436249,51435,2246831,43.68292019,1653167.236,32.14090086,138460,2928149,21.14797776,2044892.365,14.76883118,114222,2520973,22.07081823,1792334.12,15.69167165,49263,1114928,22.63215801,800672.1022,16.25301143
2022-01-31_E39,Empty_TK,0.461447189,0.496814872,0.469037804,0.238626656,0.250483481,0.236060678,0.294697687,0.307047438,0.288820761,0.61399445,0.592009435,0.59617925,0.313622557,0.30325516,0.30576887,0.387718265,0.371275575,0.37374932,0.332680511,0.356709555,0.340119201,0.161126391,0.169171837,0.161478502,0.167026698,0.175700954,0.167650941,0.442659513,0.425058577,0.432314854,0.211765407,0.204812838,0.209162743,0.219748253,0.212454054,0.216949173,9.755209734,3.166944312,11.21889163,6.168196304,76.52871978,9.874026738,13.59725348,41.01304275,30.50295783,28.48399942,153926,6199496,40.27582085,4697915.586,30.52061111,130803,5541064,42.36190301,4265053.301,32.60669328,63467,2711807,42.72782706,2092673.104,32.97261733,154086,5019941,32.57882611,4531959.219,29.4118818,130641,4520295,34.60089099,4106562.228,31.43394668,63406,2216430,34.95615557,2015626.729,31.78921126,115683,2860740,24.72913047,1562904.96,13.51023884,109770,2752883,25.07864626,1521385.266,13.85975464,49932,1271940,25.47344388,711758.3034,14.25455226,117118,1479365,12.63140593,756958.1853,6.463209628,108041,1387945,12.84646569,721526.9031,6.67826939,48998,640151,13.06483938,337921.7175,6.896643077
2022-01-31_E40,Empty_TK,0.708536697,0.716085233,0.758892914,0.387991879,0.390139244,0.424395069,0.516243777,0.518149139,0.588085915,0.762499325,0.762826192,0.808711311,0.411230929,0.409943157,0.444406728,0.548142346,0.545352221,0.619580434,0.512460357,0.52059487,0.540747894,0.274731074,0.276704988,0.3021012,0.284825853,0.287036372,0.312848249,0.55148968,0.554575606,0.576245911,0.291186287,0.290750849,0.316346291,0.302425168,0.302105921,0.329602613,9.429624609,3.006125448,11.22767109,6.174761501,71.49941711,11.9715912,16.52899169,40.33159884,31.49000829,28.17839287,138221,3948178,28.56424132,2644805.857,19.13461671,75514,2175026,28.80295045,1462957.327,19.37332584,29447,733927,24.92365946,456252.8441,15.49403485,138468,2967321,21.42965162,2551068.822,18.42352617,75639,1637681,21.65127778,1410300.677,18.64515233,29627,529642,17.87700408,440579.5214,14.87087864,128439,2797429,21.78021473,1355358.153,10.55254364,70887,1557504,21.97164501,761608.0796,10.74397392,27633,556972,20.15604531,246717.7648,8.92837422,130410,1531861,11.7464995,726610.3527,5.571738001,71866,848563,11.80757243,404807.59,5.632810926,28121,311475,11.07624195,137834.5318,4.901480454
2023-01-30_E21,Empty_TK,0.468950979,0.496342776,0.48062265,0.300979487,0.296455511,0.285668908,0.379964599,0.368843098,0.352793872,0.652328489,0.632438361,0.632317386,0.315410101,0.311755348,0.312406211,0.384318363,0.380099427,0.379118011,0.338816488,0.355201694,0.349279537,0.187156579,0.186656392,0.184426207,0.19608973,0.194131728,0.191541281,0.471306507,0.452596851,0.459519592,0.196129896,0.196289582,0.201687657,0.198336593,0.200056227,0.205833364,9.403079279,3.001008836,11.21029324,6.310799205,76.38117053,11.57706204,12.04176744,41.92723792,32.39597293,25.67678915,119077,4458965,37.44606431,3339274.529,28.04298503,108545,4197446,38.67009996,3176788.76,29.26702068,59695,2380021,39.86968758,1818704.182,30.4666083,114931,3532058,30.73198702,3187149.053,27.73097818,106368,3373673,31.71699195,3054461.692,28.71598312,58659,1927182,32.8539866,1751145.823,29.85297776,85603,2091036,24.42713456,1131401.268,13.21684133,85187,2083372,24.45645462,1128400.75,13.24616139,45374,1143892,25.21029665,635236.1548,14.00000341,113629,1342057,11.81086694,624967.1971,5.500067739,103218,1244356,12.05561046,592967.9276,5.74481125,54586,679898,12.45553805,335416.7146,6.144738845
2023-01-30_E22,Empty_TK,0.485905696,0.522555447,0.535474796,0.245065468,0.260991474,0.278862182,0.294833522,0.311491628,0.33355447,0.605968011,0.594017347,0.622972104,0.296891391,0.291300883,0.316681246,0.35842778,0.348241884,0.379534287,0.359721287,0.39183731,0.411617967,0.162473299,0.176803762,0.200265553,0.166752096,0.181876691,0.20591137,0.448604728,0.445422894,0.478876902,0.196832806,0.1973363,0.227425405,0.202719769,0.203334779,0.234295841,9.54956232,3.030394429,11.16990357,6.258044823,81.39013807,9.184812858,9.42504907,47.38256503,30.35834402,22.25909095,170335,7453543,43.75814131,5826918.302,34.20857899,122491,5701328,46.54487268,4531592.562,36.99531036,57066,2612545,45.7811131,2067589.677,36.23155078,170928,6195381,36.24555953,5677401.741,33.2151651,122694,4777008,38.93432442,4405196.786,35.90392999,57178,2184171,38.19949981,2010899.107,35.16910538,136586,3621719,26.51603385,2096066.552,15.34613029,107755,2979260,27.64846179,1775647.041,16.47855822,49051,1398952,28.52035636,851057.0602,17.3504528,140601,1826606,12.99141542,946718.6398,6.7333706,109746,1487998,13.5585625,801202.6128,7.300517675,50251,728540,14.49801994,414066.9896,8.239975117
2023-01-30_E23,Empty_TK,0.505396405,0.554450157,0.562785829,0.32856787,0.326223244,0.336305929,0.413435792,0.407692411,0.423080389,0.652617517,0.639328309,0.647149689,0.328623626,0.32622763,0.336312457,0.420166814,0.411650217,0.428303502,0.346472685,0.383977339,0.384707645,0.199631278,0.204957272,0.212087926,0.202626376,0.208968811,0.215646192,0.447399588,0.442758614,0.442376868,0.199665154,0.204960028,0.212092043,0.205925275,0.210997444,0.218308439,9.613776049,3.079667032,11.13384413,6.213154192,76.40390955,11.60867081,11.98741964,41.98163074,32.51982764,25.49854163,100197,3336017,33.29457968,2372745.481,23.68080363,74374,2602077,34.98637965,1887062.02,25.3726036,51518,1731147,33.6027602,1235864.486,23.98898415,101811,2651217,26.04057518,2337673.02,22.96090815,75095,2082104,27.72626673,1850836.404,24.6465997,52153,1376086,26.38555788,1215472.125,23.30589085,77594,1686011,21.72862592,822091.4984,10.59478179,64500,1442722,22.36778295,724589.0535,11.23393881,44802,974265,21.7460158,475446.5152,10.61217167,100180,1096108,10.94138551,473674.2131,4.728231315,74373,848858,11.41352373,386767.0833,5.200369533,51517,582195,11.30102685,262111.9355,5.087872654
2023-01-30_E26,Empty_TK,0.514606115,0.550548812,0.57410599,0.335571488,0.333225979,0.341053072,0.436859563,0.431251099,0.442154179,0.655905191,0.645006834,0.660537869,0.337404308,0.33502052,0.342065609,0.441973399,0.435172957,0.445459347,0.316270213,0.339255379,0.362852046,0.17838197,0.181243768,0.190330456,0.183195616,0.186378029,0.195737752,0.403110784,0.397461648,0.417479562,0.179356255,0.182219831,0.19089552,0.185340086,0.188072977,0.197200921,9.338958674,3.000610475,11.23405004,6.344908222,72.72934639,13.35260456,13.91804905,39.67866399,32.25618894,28.06514707,69402,2050648,29.54739057,1402505.59,20.20843189,59367,1803989,30.38706689,1249563.04,21.04810822,37837,1141878,30.17887253,788519.8207,20.83991386,69833,1575195,22.55659932,1365653.369,19.55598884,59586,1393935,23.3936663,1215140.624,20.39305582,38007,880781,23.17417844,766736.7977,20.17356797,54451,1055276,19.38028686,443570.7414,8.146236825,50673,993184,19.59986581,423920.9824,8.365815768,32886,655559,19.93428815,286116.0304,8.700238109,69025,688139,9.969416878,250181.71,3.624508656,59049,601136,10.18029094,226475.5144,3.835382723,37725,389441,10.32315441,150079.3373,3.978246185
2023-01-30_E28,Empty_TK,0.459565627,0.477615783,0.369528211,0.348865645,0.337481219,0.361932285,0.449554206,0.429543726,0.473418895,0.686199304,0.672208461,0.703604233,0.349163648,0.337864321,0.36237308,0.456905754,0.435913674,0.487653878,0.3077597,0.324531613,0.236755383,0.204585367,0.199364525,0.202198718,0.207856708,0.20291772,0.202831869,0.45953065,0.456753951,0.450796678,0.204760125,0.19959084,0.202444975,0.211255783,0.205926902,0.208930713,9.480030213,3.016803592,11.17845022,6.287270037,74.08490981,12.75851849,13.1565717,39.67017289,33.537895,26.79193211,138258,4161175,30.0971734,2850484.983,20.61714319,97011,3083579,31.78586964,2163911.789,22.30583943,36994,1010410,27.31280748,659705.7623,17.83277727,140399,3229179,23.00001425,2805622.792,19.98321065,98338,2422687,24.63632573,2126020.568,21.61952214,38060,772466,20.29600631,657646.4553,17.27920271,92595,1912333,20.65265943,877264.4018,9.47420921,68928,1472766,21.3667305,702257.7832,10.18828028,19429,373375,19.21740697,156188.8907,8.038956749,138140,1451691,10.50883886,583167.5171,4.221568822,96901,1040650,10.73931126,431407.2461,4.452041219,36949,365700,9.897426182,133391.6594,3.610156145
2021-07-19_E28,hZRS_WT,0.630308922,0.857773952,1.05484747,0.366466907,0.549614823,0.715778137,0.475647052,0.711257424,0.935060248,0.97609269,1.034760601,1.136279618,0.624891544,0.663111252,0.752912747,0.801076122,0.848623024,0.972296504,0.555792487,0.784343573,1.011621966,0.346153861,0.535048264,0.737522544,0.358020548,0.552744266,0.761916371,0.860696978,0.946179147,1.08971719,0.590254171,0.645536673,0.775785255,0.602971702,0.659496119,0.792257638,8.982492809,2.964059558,11.1139623,6.317328187,77.97360491,10.5363846,11.49001049,39.40611899,37.89461338,22.69926764,159499,4675620,29.31441576,3242921.379,20.33192296,85991,2538445,29.51989162,1766031.461,20.53739881,46410,1321246,28.46899375,904368.5087,19.48650094,157535,3602377,22.86715333,3135433.878,19.90309377,85038,1961550,23.06674663,1709492.303,20.10268707,45878,1011399,22.04540303,875413.8756,19.08134347,102996,2947085,28.61358694,1802391.339,17.49962464,71283,2177412,30.54602079,1385175.426,19.43205849,43084,1393713,32.34873735,914879.0485,21.23477505,93538,1713460,18.31833052,1122549.756,12.00100233,71273,1395167,19.57497229,944912.0681,13.2576441,44121,945719,21.4346683,666992.163,15.11734011
