e_name,e_mut,g_r_post_i_sum_norm
2020-02-11_E21,cZRS_WT,0.642882031
2020-02-11_E22,cZRS_WT,0.921633998
2020-07-22_E04,cZRS_WT,1.397355615
2020-08-10_E08,cZRS_WT,0.950969903
2020-09-30_E08,cZRS_WT,0.613944684
2020-10-20_E07,cZRS_WT,
2020-10-28_E02,cZRS_WT,0.683634166
2020-10-28_E03,cZRS_WT,0.643465009
2020-10-28_E09,cZRS_WT,0.654581389
2020-11-02_E02,cZRS_WT,0.948426803
2020-11-02_E04,cZRS_WT,0.916528691
2020-11-11_E03,cZRS_WT,1.332765875
2020-11-11_E04,cZRS_WT,0.825060439
2020-11-23_E04,cZRS_WT,1.168306259
2020-11-30_E05,cZRS_WT,0.984059879
2020-11-30_E07,cZRS_WT,0.987470042
2020-11-30_E10,cZRS_WT,0.901314588
2020-12-16_E06,cZRS_WT,1.355001032
2020-12-16_E09,cZRS_WT,1.169714742
2021-02-01_E03,cZRS_WT,1.19553288
2021-02-01_E04,cZRS_WT,
2021-02-01_E10,cZRS_WT,1.42892231
2021-02-10_E05,cZRS_WT,1.355621851
2021-02-01_E10,cZRS_WT,1.485565727
2021-03-02_E04,cZRS_WT,0.918096159
2021-03-02_E05,cZRS_WT,0.63153063
2021-03-02_E25,cZRS_WT,1.346460631
2021-03-16_E05,cZRS_WT,1.532903821
2021-03-16_E09,cZRS_WT,1.032458647
2021-03-22_E04,cZRS_WT,1.173320302
2021-03-22_E05,cZRS_WT,1.223053487
2021-03-22_E06,cZRS_WT,1.251319471
2021-03-29_E06,cZRS_WT,0.789426688
2021-04-21_E02,cZRS_WT,
2021-04-28_E07,cZRS_WT,1.613129237
2021-04-28_E08,cZRS_WT,
2021-06-28_E11,cZRS_WT,1.676431916
2021-07-14_E06,cZRS_WT,1.030727891
2021-07-19_E10,cZRS_WT,1.03792601
2021-07-19_E22,cZRS_WT,0.692252419
2021-07-26_E04,cZRS_WT,1.284264851
2021-09-20_E01,cZRS_WT,1.37992561
2021-09-20_E06,cZRS_WT,1.240349802
2021-10-04_E04,cZRS_WT,1.628900671
2021-10-04_E09,cZRS_WT,1.744301714
2021-10-04_E10,cZRS_WT,1.251577632
2021-11-01_E06,cZRS_WT,1.108064133
2021-11-01_E10,cZRS_WT,1.163993759
2021-11-15_E05,cZRS_WT,0.672868499
2021-11-15_E07,cZRS_WT,0.705402535
2021-12-06_E02,cZRS_WT,0.855649047
2021-12-06_E07,cZRS_WT,1.08921295
2021-12-06_E10,cZRS_WT,
2022-01-31_E06,cZRS_WT,1.032638837
2023-01-17_E24,cZRS_WT,
2023-01-17_E26,cZRS_WT,1.266249781
2023-01-17_E27,cZRS_WT,1.314027063
2021-01-20_E33,Empty_TK,0.432359331
2022-01-31_E35,Empty_TK,0.323780029
2022-01-31_E39,Empty_TK,
2022-01-31_E40,Empty_TK,
2023-01-30_E21,Empty_TK,0.368843098
2023-01-30_E22,Empty_TK,0.311491628
2023-01-30_E23,Empty_TK,0.407692411
2023-01-30_E26,Empty_TK,0.431251099
2023-01-30_E28,Empty_TK,0.429543726
2020-02-11_E05,cZRS_THH,0.361671645
2020-02-11_E08,cZRS_THH,0.358922458
2020-02-11_E12,cZRS_THH,0.592216921
2020-02-19_E03,cZRS_THH,
2020-07-07_E22,cZRS_THH,0.406711298
2020-07-07_E23,cZRS_THH,0.280174679
2020-11-30_E33,cZRS_THH,0.637931929
2020-12-16_E31,cZRS_THH,0.570348579
2021-03-16_E23,cZRS_THH,0.720252336
2021-03-22_E11,cZRS_THH,0.572769252
2021-03-22_E13,cZRS_THH,0.592034212
2021-03-22_E14,cZRS_THH,0.576517334
2021-04-28_E31,cZRS_THH,
2020-02-19_E21,cZRS_HH,0.55067551
2020-11-23_E31,cZRS_HH,
2020-11-23_E36,cZRS_HH,0.761877071
2021-03-22_E26,cZRS_HH,
2021-03-22_E27,cZRS_HH,1.067215761
2020-06-30_E14,cZRS_T13H,0.582885004
2020-06-30_E18,cZRS_T13H,
2020-06-30_E21,cZRS_T13H,
2020-07-07_E17,cZRS_T13H,0.61880203
2020-07-07_E19,cZRS_T13H,0.554749234
2020-10-20_E23,cZRS_T13,1.20692862
2020-10-20_E30,cZRS_T13,
2020-10-28_E21,cZRS_T13,0.419669371
2020-10-28_E22,cZRS_T13,0.564243657
2020-10-28_E23,cZRS_T13,0.453512115
2020-10-28_E24,cZRS_T13,
2020-10-28_E27,cZRS_T13,0.897451178
2020-11-02_E26,cZRS_T13,0.794895404
2020-11-11_E22,cZRS_T13,0.740033051
2020-11-11_E24,cZRS_T13,0.791500932
2020-11-11_E30,cZRS_T13,1.101624255
2020-11-11_E32,cZRS_T13,0.714792824
2020-07-22_E16,cZRS_TH,
2020-07-22_E17,cZRS_TH,0.482133931
2020-08-10_E18,cZRS_TH,0.447724295
2020-08-10_E26,cZRS_TH,0.636701161
2020-10-20_E12,cZRS_TH,0.491977986
2020-10-20_E13,cZRS_TH,0.627808479
2020-10-20_E17,cZRS_TH,0.589715267
2020-10-20_E19,cZRS_TH,0.469335621
2020-10-28_E20,cZRS_TH,0.523935265
2020-11-02_E12,cZRS_TH,0.624386904
2020-11-02_E13,cZRS_TH,0.659299696
2020-11-02_E19,cZRS_TH,0.384514403
2020-11-23_E12,cZRS_TH,
2020-11-23_E13,cZRS_TH,0.463563994
2020-11-23_E16,cZRS_TH,0.522990604
2020-11-23_E19,cZRS_TH,0.454803567
2021-02-10_E22,cZRS_TH,0.435635552
2021-02-10_E24,cZRS_TH,0.537184269
2021-02-10_E27,cZRS_TH,0.47147725
2021-02-10_E32,cZRS_TH,0.388114989
2020-11-30_E11,cZRS_H2N,
2020-11-30_E15,cZRS_H2N,0.592637436
