e_name,e_mut,rgb_rgb_limb_i_sum_norm,rgb_rgb_post_i_sum_norm,rgb_rgb_zpa_i_sum_norm,g_rgb_limb_i_sum_norm,g_rgb_post_i_sum_norm,g_rgb_zpa_i_sum_norm,g_r_limb_i_sum_norm,g_r_post_i_sum_norm,g_r_zpa_i_sum_norm,rgb_rgb_limb_i_mean_norm,rgb_rgb_post_i_mean_norm,rgb_rgb_zpa_i_mean_norm,g_rgb_limb_i_mean_norm,g_rgb_post_i_mean_norm,g_rgb_zpa_i_mean_norm,g_r_limb_i_mean_norm,g_r_post_i_mean_norm,g_r_zpa_i_mean_norm,rgb_rgb_limb_i_sum_norm_bg_sub,rgb_rgb_post_i_sum_norm_bg_sub,rgb_rgb_zpa_i_sum_norm_bg_sub,g_rgb_limb_i_sum_norm_bg_sub,g_rgb_post_i_sum_norm_bg_sub,g_rgb_zpa_i_sum_norm_bg_sub,g_r_limb_i_sum_norm_bg_sub,g_r_post_i_sum_norm_bg_sub,g_r_zpa_i_sum_norm_bg_sub,rgb_rgb_limb_i_mean_norm_bg_sub,rgb_rgb_post_i_mean_norm_bg_sub,rgb_rgb_zpa_i_mean_norm_bg_sub,g_rgb_limb_i_mean_norm_bg_sub,g_rgb_post_i_mean_norm_bg_sub,g_rgb_zpa_i_mean_norm_bg_sub,g_r_limb_i_mean_norm_bg_sub,g_r_post_i_mean_norm_bg_sub,g_r_zpa_i_mean_norm_bg_sub,rfp_rgb_bg_i_mean,rfp_r_bg_i_mean,gfp_rgb_bg_i_mean,gfp_g_bg_i_mean,rfp_r_percent,rfp_g_percent,rfp_b_percent,gfp_r_percent,gfp_g_percent,gfp_b_percent,rfp_rgb_limb_pixel_ct,rfp_rgb_limb_i_sum,rfp_rgb_limb_i_mean,rfp_rgb_limb_i_sum_bg_sub,rfp_rgb_limb_i_mean_bg_sub,rfp_rgb_post_pixel_ct,rfp_rgb_post_i_sum,rfp_rgb_post_i_mean,rfp_rgb_post_i_sum_bg_sub,rfp_rgb_post_i_mean_bg_sub,rfp_rgb_zpa_pixel_ct,rfp_rgb_zpa_i_sum,rfp_rgb_zpa_i_mean,rfp_rgb_zpa_i_sum_bg_sub,rfp_rgb_zpa_i_mean_bg_sub,rfp_r_limb_pixel_ct,rfp_r_limb_i_sum,rfp_r_limb_i_mean,rfp_r_limb_i_sum_bg_sub,rfp_r_limb_i_mean_bg_sub,rfp_r_post_pixel_ct,rfp_r_post_i_sum,rfp_r_post_i_mean,rfp_r_post_i_sum_bg_sub,rfp_r_post_i_mean_bg_sub,rfp_r_zpa_pixel_ct,rfp_r_zpa_i_sum,rfp_r_zpa_i_mean,rfp_r_zpa_i_sum_bg_sub,rfp_r_zpa_i_mean_bg_sub,gfp_rgb_limb_pixel_ct,gfp_rgb_limb_i_sum,gfp_rgb_limb_i_mean,gfp_rgb_limb_i_sum_bg_sub,gfp_rgb_limb_i_mean_bg_sub,gfp_rgb_post_pixel_ct,gfp_rgb_post_i_sum,gfp_rgb_post_i_mean,gfp_rgb_post_i_sum_bg_sub,gfp_rgb_post_i_mean_bg_sub,gfp_rgb_zpa_pixel_ct,gfp_rgb_zpa_i_sum,gfp_rgb_zpa_i_mean,gfp_rgb_zpa_i_sum_bg_sub,gfp_rgb_zpa_i_mean_bg_sub,gfp_g_limb_pixel_ct,gfp_g_limb_i_sum,gfp_g_limb_i_mean,gfp_g_limb_i_sum_bg_sub,gfp_g_limb_i_mean_bg_sub,gfp_g_post_pixel_ct,gfp_g_post_i_sum,gfp_g_post_i_mean,gfp_g_post_i_sum_bg_sub,gfp_g_post_i_mean_bg_sub,gfp_g_zpa_pixel_ct,gfp_g_zpa_i_sum,gfp_g_zpa_i_mean,gfp_g_zpa_i_sum_bg_sub,gfp_g_zpa_i_mean_bg_sub
2021-07-19_E19,cZRS_Peak-B3,0.99172596,1.048960772,1.050243097,0.53297904,0.587570383,0.590941542,0.670734303,0.72978989,0.737071006,1.040850721,1.089143699,1.097576304,0.582616307,0.612494926,0.620454267,0.723076494,0.753563971,0.7663445,0.91863919,0.995710871,0.998697517,0.489234532,0.554432841,0.559769945,0.507832809,0.574276919,0.579929537,0.964143626,1.033853934,1.043707625,0.534797797,0.577951701,0.587725903,0.547462632,0.592984915,0.602962004,8.96097614,2.960427747,11.23657989,6.411201705,79.54308644,9.742618318,10.71429524,48.35835843,34.381722,17.25991957,176919,5989577,33.854911,4404210.062,24.89393486,98173,3501926,35.6709686,2622200.089,26.70999246,83988,2937299,34.97284136,2184684.536,26.01186522,174476,4759439,27.27847383,4242915.408,24.31804608,97246,2819480,28.99327479,2531590.243,26.03284704,83170,2354959,28.31500541,2108740.224,25.35457766,168569,5940019,35.23790851,4045879.965,24.00132862,94551,3673383,38.85081067,2610953.135,27.61423078,80366,3084878,38.38536197,2181839.021,27.14878208,161846,3192319,19.72442322,2154691.649,13.31322151,94178,2057628,21.84828729,1453833.846,15.43708558,79993,1735772,21.69904867,1222920.742,15.28784696
2021-07-19_E20,cZRS_Peak-B3,0.731957865,0.73304252,0.751429473,0.429028357,0.431086025,0.47667337,0.505364801,0.507817257,0.569347385,0.811954665,0.809690916,0.856449241,0.467058101,0.467094929,0.512576107,0.55917597,0.556659872,0.622194235,0.636180096,0.63867833,0.655245609,0.374198029,0.377338311,0.424940164,0.382655774,0.386973482,0.432476987,0.705709196,0.705459818,0.746822722,0.407367527,0.408857632,0.456946389,0.423400904,0.424193163,0.472619521,8.995395567,2.981478799,11.09911947,6.333619601,78.14546587,10.45263747,11.40189666,42.49254569,35.63277607,21.87467824,148482,6639680,44.71707008,5304025.675,35.72167452,134983,6155602,45.60279443,4941376.52,36.60739886,43687,1745923,39.96436011,1352941.154,30.96896454,150915,5636742,37.3504423,5186792.127,34.3689635,136559,5225490,38.26543838,4818342.237,35.28395958,44398,1461735,32.9234425,1329363.304,29.9419637,133853,4859966,36.30823366,3374315.562,25.20911419,122205,4512318,36.92416841,3155950.106,25.82504894,38330,1311938,34.22744586,886508.7508,23.1283264,136392,2848611,20.88546982,1984755.955,14.55185022,124577,2653594,21.30083402,1864570.671,14.96721442,40627,832235,20.48477613,574919.0365,14.15115653
2021-07-26_E26,cZRS_Peak-B3,0.510850934,0.567071744,0.674829388,0.274676779,0.323432408,0.43021152,0.325828102,0.384687814,0.511481819,0.657203711,0.685437741,0.762918101,0.387986797,0.413291541,0.487685001,0.472898334,0.503542374,0.616133005,0.418104562,0.474529501,0.578154815,0.22569734,0.274716319,0.386424797,0.22912846,0.279360181,0.382146524,0.537886596,0.573578975,0.653624132,0.318802296,0.351040674,0.438048654,0.332551017,0.365672329,0.460335202,8.871272479,3.052278418,9.478581628,5.557384682,80.22023952,9.754058154,10.02570233,41.9565849,35.04145797,23.00195713,179999,7100633,39.44818027,5503812.825,30.57690779,98421,3862804,39.24776216,2989684.491,30.37648969,25558,860579,33.67160967,633847.018,24.80033719,184950,5985914,32.3650392,5421395.107,29.31276078,100819,3247714,32.21331297,2939986.342,29.16103455,27159,723840,26.65193858,640943.1704,23.59966017,139915,3627365,25.92549048,2301169.252,16.44690885,81425,2190487,26.90189745,1418693.491,17.42331582,22607,580744,25.6886805,366461.7051,16.21009887,127431,1950379,15.3053731,1242195.913,9.747988422,77022,1249356,16.22076809,821315.117,10.66338341,22546,370231,16.421139,244934.205,10.86375432
2021-10-04_E22,cZRS_Peak-B3,0.838680444,0.848090904,0.871696153,0.523909969,0.52352726,0.543723419,0.74205305,0.728327458,0.787169048,0.877812727,0.869923874,0.893305673,0.536045651,0.531459281,0.550712011,0.752590631,0.736355224,0.791374197,0.59004416,0.605224487,0.603008117,0.412425949,0.415261063,0.430343087,0.425636343,0.426957876,0.444163527,0.617575236,0.620805184,0.617956807,0.421979251,0.421552731,0.435874378,0.431680625,0.431663888,0.446536301,8.705404259,2.775153654,11.0022867,6.139488442,63.43648158,17.7083812,18.85513722,32.87356898,35.49417047,31.63226055,151595,3277315,21.61888585,1957619.241,12.91348159,115310,2591122,22.47092186,1587301.835,13.7655176,50433,1029860,20.42035969,590820.347,11.71495543,150267,2313875,15.39842414,1896860.986,12.62327048,114841,1862518,16.21823216,1543816.579,13.44307851,50059,711358,14.21039174,572436.5833,11.43523808,144837,2748620,18.97733314,1155081.802,7.975046444,112416,2197507,19.54799139,960673.9388,8.545704693,49213,897725,18.24162315,356269.4648,7.239336453,148163,1717018,11.58870973,807372.9739,5.449221289,113589,1356523,11.94237998,659144.6473,5.802891542,49793,559959,11.24573735,254255.452,5.10624891
2021-10-04_E23,cZRS_Peak-B3,0.999058368,0.976892276,0.968015121,0.572492366,0.562430807,0.567915432,0.720628956,0.699839378,0.701450751,1.057667358,1.042533708,1.051385846,0.606961492,0.60125474,0.61847945,0.757571949,0.746082055,0.761428032,0.916176172,0.894052337,0.893455332,0.531309759,0.521876476,0.535376542,0.549117954,0.53788952,0.552057575,0.969922942,0.954127411,0.970404562,0.563299327,0.557900993,0.583043479,0.577268447,0.573431177,0.599261049,8.749555077,2.871727749,11.33373342,6.345472135,76.48629758,11.40195992,12.1117425,44.7387804,35.40540034,19.85581926,128615,4173605,32.45037515,3048280.974,23.70082007,110064,3716939,33.77070613,2753927.97,25.02115106,70344,2469667,35.10842431,1854188.298,26.35886924,127530,3315655,25.99901984,2949423.56,23.12729209,109760,2987144,27.21523324,2671943.162,24.34350549,70116,1999516,28.51725712,1798161.937,25.64552937,121488,4169675,34.32170255,2792762.394,22.98796914,103134,3631049,35.2070995,2462155.738,23.87336608,64766,2390675,36.91250039,1656634.421,25.57876697,121311,2389357,19.69612813,1619581.43,13.350656,102957,2090521,20.30479715,1437210.225,13.95932501,64593,1402562,21.71383896,992688.9184,15.36836683
2021-10-04_E24,cZRS_Peak-B3,1.28475097,1.234396437,1.157214678,0.744659214,0.717857489,0.692849203,0.972824414,0.93714381,0.911664698,1.355731426,1.32118276,1.281587949,0.786141428,0.768694991,0.761143936,1.066155532,1.022577739,1.026989601,1.327045675,1.257693579,1.162292667,0.78146846,0.74399197,0.716387287,0.788581025,0.757588163,0.726409879,1.400362846,1.346117847,1.287211702,0.825001182,0.796680274,0.787002189,0.864236146,0.826653052,0.818300186,8.769654202,2.848514165,11.14601225,6.247025226,71.64252512,13.67291696,14.68455793,44.03740912,36.20550268,19.75708819,172741,4391676,25.42347213,2876797.164,16.65381793,136630,3610810,26.42765132,2412612.146,17.65799712,88937,2251819,25.3192597,1471872.264,16.5496055,179324,3361657,18.7462749,2850850.046,15.89776073,139226,2765901,19.86626779,2369313.767,17.01775363,91198,1711343,18.76513739,1451564.205,15.91662323,163697,5642210,34.46740014,3817641.233,23.32138788,127655,4457171,34.91575731,3034326.806,23.76974506,80306,2605838,32.44885812,1710746.34,21.30284587,163626,3270302,19.9864447,2248126.25,13.73941947,127594,2592047,20.3148032,1794964.063,14.06777798,80957,1560171,19.27160097,1054430.579,13.02457575
2022-01-31_E14,cZRS_Peak-B2B3,0.742978052,0.768574757,0.853835942,0.448451439,0.47438341,0.549329936,0.618629217,0.650052399,0.772401023,0.742989451,0.768574757,0.853835942,0.448451439,0.47438341,0.549329936,0.623962964,0.652099101,0.778111208,0.469739446,0.522195068,0.627681939,0.318586938,0.365073158,0.472944611,0.330910042,0.380065227,0.491768298,0.469746652,0.522195068,0.627681939,0.318586938,0.365073158,0.472944611,0.333763109,0.381261869,0.495403829,9.35723672,2.999694762,11.26911098,6.247909898,65.87042895,14.44699337,19.68257768,32.96682892,34.27592614,32.75724493,65183,1639716,25.15557737,1029783.239,15.79834065,39066,1012059,25.90638919,646509.1903,16.54915247,15691,374367,23.85870881,227542.5986,14.50147209,65745,1188649,18.07968667,991434.0679,15.07999191,39189,738562,18.84615581,621006.962,15.84646105,15807,266249,16.84374012,218832.8249,13.84404535,65182,1218273,18.69032862,483729.8079,7.421217636,39066,777843,19.91099677,337603.9104,8.641885792,15691,319648,20.37142311,142824.3796,9.102312126,65183,735333,11.28105488,328075.4891,5.033144978,39066,480104,12.28956126,236023.1519,6.041651357,15691,205651,13.10630298,107615.0458,6.858393078
2022-01-31_E15,cZRS_Peak-B2B3,1.514152549,1.511632588,1.535941094,0.890368372,0.922625378,0.965317337,1.182610734,1.193280149,1.248229562,1.537016863,1.528839344,1.560765945,0.90593586,0.935634724,0.984029621,1.198547552,1.207447696,1.269367701,1.670570638,1.644712498,1.680703096,1.001435619,1.031653842,1.092855361,1.039474652,1.069778528,1.134105448,1.695796929,1.663434089,1.707867681,1.018945043,1.046200528,1.114039917,1.053482573,1.082479768,1.153310952,9.55040043,3.000082776,11.50982969,6.396353703,75.30097358,10.33545266,14.36357376,47.06553617,38.10165146,14.83281237,82752,2442069,29.51069461,1651754.264,19.96029418,44159,1435923,32.51710863,1014186.867,22.9667082,28292,923372,32.63721193,653172.071,23.0868115,82426,1838594,22.30599568,1591309.177,19.3059129,44062,1110233,25.19706323,978043.3527,22.19698045,28224,714089,25.30077239,629414.6637,22.30068962,81521,3697665,45.35843525,2759372.174,33.84860556,43662,2170588,49.71343502,1668045.816,38.20360534,27842,1418245,50.93904892,1097788.322,39.42921923,81330,2174341,26.73479651,1654125.553,20.3384428,43545,1324819,30.42413595,1046289.778,24.02778225,27754,891347,32.11598328,713822.5993,25.71962958
2022-01-31_E17,cZRS_Peak-B2B3,0.59491713,0.745494972,0.891143696,0.320985152,0.403534577,0.570558965,0.433457165,0.537599163,0.757729222,0.968882367,0.92536758,0.982527391,0.707972715,0.675423899,0.676264113,0.958128858,0.900376495,0.899115444,0.525613981,0.643328441,0.803286356,0.335631434,0.411743483,0.582348226,0.346433381,0.42521029,0.601041871,0.85601522,0.798550367,0.885660585,0.740276915,0.689163716,0.690237523,0.765768446,0.712146477,0.713191484,9.539422221,3.015272231,11.24105498,6.181657803,67.54249759,13.75710868,18.70039374,32.464012,37.05227402,30.48371398,154976,4222457,27.24587678,2744075.502,17.70645456,117430,3355140,28.57140424,2234925.649,19.03198202,80444,2318947,28.82684849,1551557.719,19.28742627,155314,3126828,20.13229973,2658514.009,17.1170275,117503,2518447,21.43304426,2164143.467,18.41777203,80534,1746133,21.68193558,1503301.066,18.66666335,95159,2512012,26.39804958,1442324.449,15.1569946,94604,2501240,26.4390512,1437791.234,15.19799622,72962,2066515,28.32316822,1246345.146,17.08211324,70264,1355346,19.28933736,920997.9962,13.10767955,70159,1353915,19.29780926,920216.0702,13.11615146,67870,1323096,19.49456314,903546.8849,13.31290533
2022-07-06_E05,cZRS_Peak-B2B3,0.900259486,0.901256503,1.029231476,0.584878114,0.588197393,0.735273596,0.816543525,0.824807693,1.043845755,1.03877086,1.035302659,1.089650204,0.729420005,0.72744148,0.78348526,1.053007502,1.041347114,1.14312744,0.704634501,0.705570253,0.836018064,0.529368777,0.531945115,0.703396114,0.538246075,0.544368357,0.714669298,0.81304757,0.810511499,0.885094632,0.660192554,0.657872588,0.749517581,0.694117506,0.687283135,0.782642532,9.338270596,3.000884672,12.72927488,7.74047555,63.13987808,19.09724137,17.76288055,32.05496764,42.84254332,25.10248904,169242,3851464,22.75714066,2271036.408,13.41887007,162865,3738869,22.95685998,2217991.559,13.61858938,55692,1215368,21.82302665,695301.034,12.48475605,175004,2758747,15.76390825,2233580.179,12.76302358,166263,2666310,16.03670089,2167373.912,13.03581622,57236,856092,14.95722972,684333.3649,11.95634504,146675,3467317,23.63945458,1600250.607,10.9101797,141778,3369680,23.76729817,1564948.866,11.03802329,52604,1250895,23.77946544,581284.2242,11.05019056,135705,2252637,16.59951365,1202215.765,8.859038101,131690,2199193,16.69977219,1179849.775,8.959296642,52265,893628,17.09801971,489072.0454,9.357544157
